8 -0.499975


0 0 0
0.16 0.136343 0.136343
0.32 0.232367 0.232368
0.48 0.297015 0.297016
0.64 0.337465 0.337467
0.8 0.35946 0.359463
0.96 0.367573 0.367577
1.12 0.365427 0.365433
1.28 0.355879 0.355888
1.44 0.341165 0.341176
1.6 0.323021 0.323034
1.76 0.302782 0.302799
1.92 0.281465 0.281485
2.08 0.259831 0.259855
2.24 0.238439 0.238467
2.4 0.21769 0.217723
2.56 0.197862 0.1979
2.72 0.179136 0.179179
2.88 0.161619 0.161668
3.04 0.145362 0.145418
3.2 0.130376 0.130439
3.36 0.116639 0.11671
3.52 0.10411 0.10419
3.68 0.0927308 0.0928205
3.84 0.0824347 0.0825354
4 0.0731494 0.0732626
4.16 0.0648003 0.0649274
4.32 0.0573127 0.0574555
4.48 0.0506131 0.0507737
4.64 0.0446311 0.0448117
4.8 0.0392994 0.0395028
4.96 0.0345548 0.0347841
5.12 0.0303385 0.0305972
5.28 0.0265958 0.026888
5.44 0.0232764 0.0236068
5.6 0.020334 0.020708
5.76 0.0177266 0.0181504
5.92 0.0154157 0.0158964
6.08 0.0133664 0.0139121
6.24 0.0115469 0.0121671
6.4 0.00992848 0.010634
6.56 0.00848498 0.00928821
6.72 0.00719264 0.00810794
6.88 0.00602976 0.00707363
7.04 0.00497649 0.00616793
7.2 0.00401454 0.00537542
7.36 0.0031269 0.00468242
7.52 0.00229761 0.00407684
7.68 0.00151155 0.00354797
7.84 0.000754132 0.00308637
